BACTERIAL_STRAIN_NAME	Curie	Name	Sample	Category	Xrefs	Supplier	Catalog/Product ID	Supplier_Catalog_id	Strain Name
ACIBA 79515	NBT:79515ACIBA	ACIBA 79515	Blood	R Quinolone					
ACIBA 80652	NBT:80652ACIBA	ACIBA 80652	Blood	R Quinolone					
ACIBA 82221	NBT:82221ACIBA	ACIBA 82221	Blood	Quinolone S					
ACIBA 84263.A	NBT:84263ACIBA.A	ACIBA 84263.A	Blood	Quinolone S					
ACIBA 84263.B	NBT:84263ACIBA.B	ACIBA 84263.B	Blood	Quinolone S					
ACIBA 84268	NBT:84268ACIBA	ACIBA 84268	Blood	Quinolone S					
ACIBA 84614	NBT:84614ACIBA	ACIBA 84614	Blood	R Quinolone					
ACIBA 85831	NBT:85831ACIBA	ACIBA 85831	Blood	Quinolone S					
ACIBA 86029	NBT:86029ACIBA	ACIBA 86029	Blood	N/S					
ACIBA 87000	NBT:87000ACIBA	ACIBA 87000	Blood	Quinolone S					
ACIBA 87076	NBT:87076ACIBA	ACIBA 87076	Blood	Quinolone S					
ACIBA 88215	NBT:88215ACIBA	ACIBA 88215	Blood	Quinolone S					
ACIBA 89719	NBT:89719ACIBA	ACIBA 89719	Blood	Quinolone S					
ACIBA NCTC 13301	NCTC:13301	Acinetobacter baumannii bouvet and grimont 1986							
ACIBA SS11018	NBT:SS11018ACIBA	ACIBA SS11018	Wound	N/S					
ACIBA SS1882	NBT:SS1882ACIBA	ACIBA SS1882	Wound	N/S					
ACIBA SS1883	NBT:SS1883ACIBA	ACIBA SS1883	Wound	N/S					
ACIBA SS3491	NBT:SS3491ACIBA	ACIBA SS3491	Wound	N/S					
ACILW 43120	NBT:43120ACILW	ACILW 43120	Blood	N/S					
ACILW 82914	NBT:82914ACILW	ACILW 82914	Blood	Quinolone S					
ACIPI 38220	NBT:38220ACIPI	ACIPI 38220	Fluid	N/S					
ACIPI 40010	NBT:40010ACIPI	ACIPI 40010	Blood	N/S					
ACIPI 40200	NBT:40200ACIPI	ACIPI 40200	Blood	N/S					
ACIPI 41920	NBT:41920ACIPI	ACIPI 41920	Blood	N/S					
ACIPI SS13512	NBT:SS13512ACIPI	ACIPI SS13512	Wound	Quinolone S					
ACIRA 83910	NBT:83910ACIRA	ACIRA 83910	Blood	Quinolone S					
CITBR 71283	NBT:71283CITBR	CITBR 71283	Blood	N/S					
CITBR 74054	NBT:74054CITBR	CITBR 74054	Blood	N/S					
CITBR 89194	NBT:89194CITBR	CITBR 89194	Blood	Quinolone S					
CITBR SS13307	NBT:SS13307CITBR	CITBR SS13307	Wound	Quinolone S					
CITFR 69442	NBT:69442CITFR	CITFR 69442	Tissue	N/S					
CITFR 69963	NBT:69963CITFR	CITFR 69963	Fluid	CARBR					
CITFR 70607	NBT:70607CITFR	CITFR 70607	Blood	N/S					
CITFR 70844	NBT:70844CITFR	CITFR 70844	Blood	N/S					
CITFR 73549	NBT:73549CITFR	CITFR 73549	Blood	N/S					
CITFR 75688	NBT:75688CITFR	CITFR 75688	Blood	CARBR					
CITFR 91965	NBT:91965CITFR	CITFR 91965	Blood	CARBR					
CITFR 91968	NBT:91968CITFR	CITFR 91968	Blood	CARBR					
CITFR 91986	NBT:91986CITFR	CITFR 91986	Blood	CARBR					
CITFR SS10435	NBT:SS10435CITFR	CITFR SS10435	Wound	N/S					
CITFR SS10946	NBT:SS10946CITFR	CITFR SS10946	Wound	N/S					
CITFR SS11388	NBT:SS11388CITFR	CITFR SS11388	Wound	N/S					
