BACTERIAL_STRAIN_NAME	Curie	Name	Sample	Category	Xrefs	Supplier	Catalog/Product ID	Supplier_Catalog_id	Strain Name
KLEPN 76018	NBT:76018KLEPN	KLEPN 76018	Blood	CARBR					
KLEPN 76020	NBT:76020KLEPN	KLEPN 76020	Blood	CARBR					
KLEPN 76021	NBT:76021KLEPN	KLEPN 76021	Blood	CARBR					
KLEPN 76022	NBT:76022KLEPN	KLEPN 76022	Blood	CARBR					
KLEPN 76023	NBT:76023KLEPN	KLEPN 76023	Blood	CARBR					
KLEPN 76024	NBT:76024KLEPN	KLEPN 76024	Blood	CARBR					
KLEPN 76026	NBT:76026KLEPN	KLEPN 76026	Blood	CARBR					
KLEPN 76027	NBT:76027KLEPN	KLEPN 76027	Blood	CARBR					
KLEPN 76029	NBT:76029KLEPN	KLEPN 76029	Blood	CARBR					
KLEPN 76039	NBT:76039KLEPN	KLEPN 76039	Blood	CARBR					
KLEPN 76041	NBT:76041KLEPN	KLEPN 76041	Blood	CARBR					
KLEPN 76042	NBT:76042KLEPN	KLEPN 76042	Blood	CARBR					
KLEPN 76043	NBT:76043KLEPN	KLEPN 76043	Blood	CARBR					
KLEPN 76044	NBT:76044KLEPN	KLEPN 76044	Blood	CARBR					
KLEPN 76045	NBT:76045KLEPN	KLEPN 76045	Blood	CARBR					
KLEPN 76046	NBT:76046KLEPN	KLEPN 76046	Blood	CARBR					
KLEPN 76299	NBT:76299KLEPN	KLEPN 76299	Blood	CARBR					
KLEPN 76337	NBT:77085KLEPN	KLEPN 77085	Blood	R Quinolone					
KLEPN 77085									
KLEPN 77178	NBT:77178KLEPN	KLEPN 77178	Blood	ESBL					
KLEPN 77620	NBT:77620KLEPN	KLEPN 77620	Blood	CARBR					
KLEPN 78029	NBT:78029KLEPN	KLEPN 78029	Blood	N/S					
KLEPN 78238	NBT:78238KLEPN	KLEPN 78238	Blood	ESBL					
KLEPN 78620	NBT:78620KLEPN	KLEPN 78620	Blood	ESBL					
KLEPN 79668	NBT:79668KLEPN	KLEPN 79668	Blood	ESBL					
KLEPN 80169	NBT:80169KLEPN	KLEPN 80169	Blood	ESBL					
KLEPN 80241	NBT:80241KLEPN	KLEPN 80241	Blood	ESBL					
KLEPN 80644	NBT:80644KLEPN	KLEPN 80644	Blood	N/S					
KLEPN 81430	NBT:81430KLEPN	KLEPN 81430	Blood	R Quinolone					
KLEPN 82653	NBT:82653KLEPN	KLEPN 82653	Blood	R Quinolone					
KLEPN 82817	NBT:82817KLEPN	KLEPN 82817	Blood	ESBL					
KLEPN 82983	NBT:82983KLEPN	KLEPN 82983	Blood	ESBL					
KLEPN 82998	NBT:82998KLEPN	KLEPN 82998	Sputum	CARBA / Colistin R					
KLEPN 83241	NBT:83241KLEPN	KLEPN 83241	Blood	N/S					
KLEPN 83249	NBT:83249KLEPN	KLEPN 83249	Blood	Quinolone S					
KLEPN 83908	NBT:83908KLEPN	KLEPN 83908	Blood	R Quinolone					
KLEPN 83985	NBT:83985KLEPN	KLEPN 83985	Blood	Quinolone S					
KLEPN 84012	NBT:84012KLEPN	KLEPN 84012	Blood	ESBL					
KLEPN 84253	NBT:84253KLEPN	KLEPN 84253	Blood	CARBR					
KLEPN 84610	NBT:84610KLEPN	KLEPN 84610	Blood	Quinolone S					
KLEPN 84657	NBT:84657KLEPN	KLEPN 84657	Blood	N/S					
KLEPN 85140	NBT:85140KLEPN	KLEPN 85140	Wound	CARBR					
KLEPN 85292	NBT:85292KLEPN	KLEPN 85292	Blood	R Quinolone					
KLEPN 85347	NBT:85347KLEPN	KLEPN 85347	Blood	ESBL					
KLEPN 85614	NBT:85614KLEPN	KLEPN 85614	Blood	ESBL					
KLEPN 86443	NBT:86443KLEPN	KLEPN 86443	Blood	N/S					
KLEPN 86448	NBT:86448KLEPN	KLEPN 86448	Blood	Quinolone S					
KLEPN 86468	NBT:86468KLEPN	KLEPN 86468	Blood	N/S					
KLEPN 86711	NBT:86711KLEPN	KLEPN 86711	Blood	N/S					
KLEPN 86748	NBT:86748KLEPN	KLEPN 86748	Blood	N/S					
KLEPN 86751	NBT:86751KLEPN	KLEPN 86751	Blood	R Quinolone					
KLEPN 87329	NBT:87329KLEPN	KLEPN 87329	Blood	Quinolone S					
KLEPN 87635	NBT:87635KLEPN	KLEPN 87635	Blood	Quinolone S					
KLEPN 87838	NBT:87838KLEPN	KLEPN 87838	Blood	N/S					
KLEPN 87970	NBT:87970KLEPN	KLEPN 87970	Blood	Quinolone S					
KLEPN 87977	NBT:87977KLEPN	KLEPN 87977	Blood	Quinolone S					
KLEPN 88008	NBT:88008KLEPN	KLEPN 88008	Blood	N/S					
KLEPN 88120	NBT:88120KLEPN	KLEPN 88120	Blood	Quinolone S					
KLEPN 88128	NBT:88128KLEPN	KLEPN 88128	Blood	ESBL					
KLEPN 88174	NBT:88174KLEPN	KLEPN 88174	Blood	Quinolone S					
KLEPN 88282	NBT:88282KLEPN	KLEPN 88282	Blood	R Quinolone					
KLEPN 88421	NBT:88421KLEPN	KLEPN 88421	Blood	R Quinolone					
KLEPN 88645	NBT:88645KLEPN	KLEPN 88645	Blood	ESBL					
KLEPN 88684	NBT:88684KLEPN	KLEPN 88684	Blood	Quinolone S					
KLEPN 88922	NBT:88922KLEPN	KLEPN 88922	Blood	Quinolone S					
KLEPN 89025	NBT:89025KLEPN	KLEPN 89025	Blood	R Quinolone					
KLEPN 89249	NBT:89249KLEPN	KLEPN 89249	Blood	Quinolone S					
KLEPN 89514	NBT:89514KLEPN	KLEPN 89514	Blood	Quinolone S					
KLEPN 89522	NBT:89522KLEPN	KLEPN 89522	CSF	Quinolone S					
KLEPN 91971	NBT:91971KLEPN	KLEPN 91971	Blood	CARBR					
KLEPN 91974	NBT:91974KLEPN	KLEPN 91974	Blood	CARBR					
KLEPN 91983	NBT:91983KLEPN	KLEPN 91983	Blood	CARBR					
KLEPN 91989	NBT:91989KLEPN	KLEPN 91989	Blood	CARBR					
KLEPN 92001	NBT:92001KLEPN	KLEPN 92001	Blood	CARBR					
KLEPN 92004	NBT:92004KLEPN	KLEPN 92004	Blood	CARBR					
KLEPN 92013	NBT:92013KLEPN	KLEPN 92013	Blood	CARBR					
KLEPN 92021	NBT:92021KLEPN	KLEPN 92021	Blood	CARBR					
KLEPN ATCC 700603	ATCC:700603	Klebsiella pneumoniae subsp. pneumoniae (Schroeter) Trevisan							
KLEVA 59729	NBT:59729KLEVA	KLEVA 59729	Wound	CARBR					
KLEVA 76038	NBT:76038KLEVA	KLEVA 76038	Blood	CARBR					
MORGMO 66286	NBT:66286.0MORGMO	MORGMO 66286	Sputum	R Quinolone					
MORGMO 66462	NBT:66462.0MORGMO	MORGMO 66462	Fluid	Quin S					
MORGMO 73843	NBT:73843.0MORGMO	MORGMO 73843	Tissue	ESBL					
MORGMO 78232	NBT:78232.0MORGMO	MORGMO 78232	Blood	R Quinolone					
MORGMO 79692	NBT:79692.0MORGMO	MORGMO 79692	Blood	Quin S					
MRSA 85568									
PROMI 7002									
PROMI 78093	NBT:78093PROMI	PROMI 78093	Blood	Quin S					
PROMI 79031	NBT:79031PROMI	PROMI 79031	Blood	Quin S					
PROMI 79074	NBT:79074PROMI	PROMI 79074	Blood	Quin S					
PROMI 79179	NBT:79179PROMI	PROMI 79179	Blood	R QUIN					
PROMI 79198	NBT:79198PROMI	PROMI 79198	Blood	Quin S					
PROMI 79234	NBT:79234PROMI	PROMI 79234	Blood	Quin S					
PROMI 79268	NBT:79268PROMI	PROMI 79268	Blood	Quin S					
PROMI 79395	NBT:79395PROMI	PROMI 79395	Blood	Quin S					
PROMI 79504	NBT:79504PROMI	PROMI 79504	Blood	Quin S					
PROMI 79839	NBT:79839PROMI	PROMI 79839	Blood	Quin S					
PROMI 79855	NBT:79855PROMI	PROMI 79855	Blood	Quin S					
PROMI 80092	NBT:80092PROMI	PROMI 80092	Blood	Quin S					
PROMI 80093	NBT:80093PROMI	PROMI 80093	Blood	Quin S					
PROMI 80114	NBT:80114PROMI	PROMI 80114	Blood	Quin S					
PROMI 80167	NBT:80167PROMI	PROMI 80167	Blood	Quin S					
PROMI 80314	NBT:80314PROMI	PROMI 80314	Blood	Quin S					
PROMI 80317	NBT:80317PROMI	PROMI 80317	Blood	Quin S					
PROMI 80586	NBT:80586PROMI	PROMI 80586	Blood	Quin S					
PROMI 80591	NBT:80591PROMI	PROMI 80591	Blood	Quin S					
PROMI 80592	NBT:80592PROMI	PROMI 80592	Blood	Quin S					
PROMI 80593	NBT:80593PROMI	PROMI 80593	Blood	Quin S					
PROMI 80658	NBT:80658PROMI	PROMI 80658	Blood	Quin S					
PROMI 80788	NBT:80788PROMI	PROMI 80788	Blood	Quin S					
PROMI 80807	NBT:80807PROMI	PROMI 80807	Blood	Quin S					
PROMI 80989	NBT:80989PROMI	PROMI 80989	Blood	Quin S					
PROMI 81005	NBT:81005PROMI	PROMI 81005	Blood	Quin S					
PROMI 81118	NBT:81118PROMI	PROMI 81118	Blood	R QUIN					
PROMI 81119	NBT:81119PROMI	PROMI 81119	Blood	Quin S					
PROMI 81234	NBT:81234PROMI	PROMI 81234	Blood	R QUIN					
PROMI 81241	NBT:81241PROMI	PROMI 81241	Blood	Quin S					
PROMI 81350	NBT:81350PROMI	PROMI 81350	Blood	R QUIN					
PROMI 81535	NBT:81535PROMI	PROMI 81535	Blood	N/S MDR					
PROMI 81647	NBT:81647PROMI	PROMI 81647	Blood	R QUIN					
PROMI 81666	NBT:81666PROMI	PROMI 81666	Blood	Quin S					
PROMI 81858	NBT:81858PROMI	PROMI 81858	Blood	Quin S					
PROMI 81907	NBT:81907PROMI	PROMI 81907	Blood	Quin S					
PROMI 82193	NBT:82193PROMI	PROMI 82193	Blood	Quin S					
PROMI 82195	NBT:82195PROMI	PROMI 82195	Blood	Quin S					
PROMI 82282	NBT:82282PROMI	PROMI 82282	Blood	Quin S					
PROMI 82291	NBT:82291PROMI	PROMI 82291	Blood	Quin S					
PROMI 82297	NBT:82297PROMI	PROMI 82297	Blood	Quin S					
PROMI 82471	NBT:82471PROMI	PROMI 82471	Blood	Quin S					
PROMI 82597	NBT:82597PROMI	PROMI 82597	Blood	Quin S					
PROMI 82609	NBT:82609PROMI	PROMI 82609	Blood	Quin S					
PROMI 82804	NBT:82804PROMI	PROMI 82804	Blood	Quin S					
PROMI 83028	NBT:83028PROMI	PROMI 83028	Blood	Quin S					
PROMI 83037	NBT:83037PROMI	PROMI 83037	Blood	Quin S					
PROMI 83061	NBT:83061PROMI	PROMI 83061	Blood	Quin S					
PROMI 83124	NBT:83124PROMI	PROMI 83124	Blood	R QUIN					
PROMI 83129	NBT:83129PROMI	PROMI 83129	Blood	Quin S					
PROMI 84280									
PROMI 84962									
PROMI 85353									
PROMI isolate ST19									
PROVST 71167	NBT:71167.0PROVST	PROVST 71167	Blood	N/S					
PROVST 74900	NBT:74900.0PROVST	PROVST 74900	Tissue	N/S					
PROVST 76300	NBT:76300.0PROVST	PROVST 76300	Blood	N/S					
PROVST 84442	NBT:84442.0PROVST	PROVST 84442	Blood	N/S					
PROVST 86249	NBT:86249.0PROVST	PROVST 86249	Blood	N/S					
PROVST 86926	NBT:86926.0PROVST	PROVST 86926	Blood	N/S					
PROVST 88057	NBT:88057.0PROVST	PROVST 88057	Blood	N/S					
PSEAE 11B									
PSEAE 27853									
PSEAE 75175									
PSEAE 75185									
PSEAE 75333									
PSEAE 88193									
PSEAE 88195									
PSEAE 88245									
PSEAE 88276									
PSEAE 88337									
PSEAE 88342									
PSEAE 88356									
PSEAE 88361									
PSEAE 88534									
PSEAE 89228									
PSEAE 89268									
PSEAE 89273									
PSEAE 89337									
PSEAE 89382									
PSEAE 89399									
PSEAE 89580									
PSEAE 89675									
PSEAE 89715									
PSEAE 91124									
PSEAE 91160									
PSEAE 91165									
PSEAE 91166									
PSEAE 91179									
PSEAE 91182									
PSEAE 91612									
PSEAE 91733									
PSEAE 91752									
PSEAE 91777									
PSEAE 91786									
PSEAE 91861									
PSEAE ATCC 27853	ATCC:27853	Pseudomonas aeruginosa (Schroeter) Migula							
PSEAE CLB24226									
PSEAE PA01									
PSEAE PA0750									
PSEAE Paeβ02									
SERMA 85197	NBT:88201.0SERMA	SERMA 88201	Blood	N/S					
SERMA 88201	NBT:88302.0SERMA	SERMA 88302	Blood	N/S					
SERMA 88302	NBT:88500.0SERMA	SERMA 88500	Blood	N/S					
SERMA 88500	NBT:88715.0SERMA	SERMA 88715	Blood	N/S					
SERMA 88715	NBT:89666.0SERMA	SERMA 89666	Blood	N/S	
SERMA 89666	NBT:89666.0SERMA	SERMA 89666
STAAU 29213									
STAEP 13360									
STRPN 12977									
